"movie_id","movie_title","original_language","overview","production_countries","year_released"
"young-gods","Young Gods","fi","Taavi,the enigmatic 18-year-old lead, has just inherited his long-deceased wealthy parents home and estate. It is high school graduation and Taavi's birthday, and after his fiends greet him au natural and are arrested, Taavi invites his friends to the mansion for a wild party. Taavi lives with a recording camera to his eye, a machine that allows his to keep interpersonal distance from everyone. Among his friends are Jere who considers himself a woman's man, Markus (who appears the well-adjusted one, and chubby, pierced Sami whose sexuality is ambiguous. The party gets wild, guests sleep around, and Taavi records it all!","[""Finland""]","2003"
"antisocial-2","Antisocial 2","en","Years after having her newborn child stolen from her, Sam searches a world infested with infected users from the Social Redroom website. After befriending a young girl named Bean, Sam is captured and locked in a facility dedicated to finding a cure for the Redroom Virus. Trapped and tortured, Sam tries to escape the facility before an impending update on the Redroom site hits 100% and unleashes its final phase of the attack.","[""Canada""]","2015"
"wizards-of-the-lost-kingdom","Wizards of the Lost Kingdom","en","Simon, son of the king, must flee when the empire is overthrown by the evil Shurka. Schooled in the arts of magic, he must find the Ring of Magic and the Sword of Power and defeated the wizard who killed his father. He is joined in his quest by the swordmaster Kor, his faithful protector Gulfax, and the Forest Wizard Hurla","[""Argentina"",""United States of America""]","1985"
"a-very-british-psycho","A Very British Psycho","en","A documentary film examining Michael Powell's 1960 film ""Peeping Tom,"" the controversy surrounding its release, and the life of its screenwriter, Leo Marks.","[]","1997"
"family-in-transition","Family in Transition","en","A father of a family from Nahariya suddenly decides to share his secret desire to become a woman. Despite personal difficulties and social stigmas, the family members insist on staying together, believing that love will overcome all difficulties. Family in Transition offers an intimate, candid, and stirring portrait of the family.","[]","2018"
"the-mechanic","The Mechanic","en","Arthur Bishop is a veteran hit man who, owing to his penchant for making his targets' deaths seem like accidents, thinks himself an artist. It's made him very rich, but as he hits middle age, he's so depressed and lonely that he takes on one of his victim's sons, Steve McKenna, as his apprentice. Arthur puts him through a rigorous training period and brings him on several hits. As Steven improves, Arthur worries that he'll discover who killed his father.","[""United States of America""]","1972"
"an-audience-of-chairs","An Audience of Chairs","en","Maura Mackenzie believes the world is hers to conquer. With her career as a concert pianist gaining momentum, it seems her beauty and talent will be strong enough to mask the demons that threaten to engulf her. But with an absent husband and two young daughters at home, her precarious sanity begins to unravel until one summer day, burning with manic energy, she makes a terrible mistake — a mistake that will change her life forever. The consequences for Maura are catastrophic: her ambitious husband runs for his life, taking the children with him, leaving Maura to lapse into a full-scale breakdown. Life as she knew it is now over. With the help of her father, Ian, Maura works to reclaim her life and waits for a miracle to bring her daughters home. But when the fates align, can the past be forgiven?","[""Canada""]","2018"
"jacktown","Jacktown","en","A young man is charged with statutory rape.","[""United States of America""]","1962"
"the-mandarin-1996","The Mandarin","pt","The history of Brazilian popular music in the 20th Century, focusing specially on the life and works of intriguing singer Mário Reis, a loner who, with his special way of singing - whispering and softly saying the words - in a time when singers with potent voices ruled, was in a way a forerunner of Bossa Nova style.","[""Brazil""]","1996"
"lubitsch-le-patron","Lubitsch, le patron","fr","A documentary about the life and career of film director Ernst Lubitsch","[""France""]","2010"
"when-spring-comes-late","When Spring Comes Late","sq","Based on war-themed diary of Fadil Hoxha, the film tells the story of one particular phase of partisan revolution in Kosovo during WWII.","[""Yugoslavia""]","1979"
"the-outsider-the-cinema-of-antonio-margheriti","The Outsider - The Cinema of Antonio Margheriti","en","Documentary on the life and films of Antonio Margheriti.","[]","2013"
"english-cup-final-barnsley-v-newcastle-united","English Cup Final: Barnsley V. Newcastle United","en","Short clip of Newcastle United v Barnsley FC in the 1910 FA cup final.","[]","1910"
"a-fire-in-my-brain-that-separates-us","A Fire In My Brain That Separates Us","en","Quotes from movies about 'Gaslighting' are superimposed on shots of an apartment interior.","[""Germany""]","2015"
"inner-sanctum","Inner Sanctum","en","A killer hides out in a small-town boarding house.","[""United States of America""]","1948"
"el-kotbia","El kotbia","en","El-Kotbia (The Bookshop), takes place at bookstore, and at the home of the family who owns it. Jamil (Ahmed El-Haffiene) goes to work for Tarek (Yadh Beji), and is given room and board as the store as part of the arrangement. Tarek's wife, Lelia (Hend Sabri), harbors dreams of becoming a professional singer, and is in conflict with her mother-in-law, Aicha (Martine Gafsi). Aicha is flamboyant by nature, leading to speculation from townspeople about the exact nature of her friendship with Jamil.","[]","2002"
"the-immigrant-experience-the-long-long-journey","The Immigrant Experience: The Long Long Journey","en","""A family of Polish immigrants has a difficult time adjusting to life in the United States. The story centers on the son, named Janek, who has trouble fitting in at school and with his family.""","[]","1972"
"the-ghost-valleys-treasure-mysteries","The Ghost Valley's Treasure Mysteries","fa","A satirical comedy about a poor farmer who, while plowing his field, accidentally uncovers an ancient burial chamber loaded with gold artifacts. Realizing that the trove would somehow liberate him from his bumpkin existence, he brings pieces of it to a jeweler in the city.","[""Iran""]","1974"
"chicos-ricos","Rich Kids","es","Two award-winning advertising creatives throw a party at their mansion and are surprised by a lumpen and his son who try to rob them to pay off their debts with a threatening moneylender","[""Argentina""]","2000"
"princess-raccoon","Princess Raccoon","ja","Amechiyo (the banished prince) falls in love with Tanukihime (a princess of raccoon dog disguised as human). This is an operetta which includes comedy, singing and dancing, and a love story.","[""Japan""]","2005"
"la-compagnia-dei-matti","La compagnia dei matti","en","Momi Tamberlan, Bortolo Cioci and Piero Scavezza are the last three old survivors of a club founded at the time of their student life by their partner Giuseppe Bardonazzi. The rules of the Club establish that who cannot be a member of the Club he has no reputation as a pleasure-loving, gluttonous.","[""Italy""]","1928"
"problemski-hotel","Problemski Hotel","ab","The cross-frontier migrant's life 'within the system' - an endless, featureless, futureless round of queues - becomes even bleaker in December. Bipul doesn't want to admit it, but the arrival of Lidia, a Russian girl makes a difference. Hope? Surely not! A future? Get real! December is also the ninth month of Martina's pregnancy. But, just when the situation seems hopeless, help is at hand. A Christmas story.","[""Belgium""]","2015"
